hcpcs,mod,description,code,payment,wrvu,pervu,indicator,pervu,indicator,rvu,total,total,ind,days,op,op,op,proc,surg,surg,surg,surg,base,factor,procedures,flag,indicator,amount,amount,amount
A0382,,Basic support routine suppls,X,,0.00,0.00,,0.00,,0.00,0.00,0.00,9,XXX,0.00,0.00,0.00,9,9,9,9,9,,35.8228,09,0,99,0.00,0.00,0.00
A0384,,Bls defibrillation supplies,X,,0.00,0.00,,0.00,,0.00,0.00,0.00,9,XXX,0.00,0.00,0.00,9,9,9,9,9,,35.8228,09,0,99,0.00,0.00,0.00
A0390,,Advanced life support mileag,I,,0.00,0.00,,0.00,,0.00,0.00,0.00,9,XXX,0.00,0.00,0.00,9,9,9,9,9,,35.8228,09,0,99,0.00,0.00,0.00
A0392,,Als defibrillation supplies,X,,0.00,0.00,,0.00,,0.00,0.00,0.00,9,XXX,0.00,0.00,0.00,9,9,9,9,9,,35.8228,09,0,99,0.00,0.00,0.00
A0394,,Als iv drug therapy supplies,X,,0.00,0.00,,0.00,,0.00,0.00,0.00,9,XXX,0.00,0.00,0.00,9,9,9,9,9,,35.8228,09,0,99,0.00,0.00,0.00
A0396,,Als esophageal intub suppls,X,,0.00,0.00,,0.00,,0.00,0.00,0.00,9,XXX,0.00,0.00,0.00,9,9,9,9,9,,35.8228,09,0,99,0.00,0.00,0.00
A0398,,Als routine disposble suppls,X,,0.00,0.00,,0.00,,0.00,0.00,0.00,9,XXX,0.00,0.00,0.00,9,9,9,9,9,,35.8228,09,0,99,0.00,0.00,0.00
A0420,,Ambulance waiting 1/2 hr,X,,0.00,0.00,,0.00,,0.00,0.00,0.00,9,XXX,0.00,0.00,0.00,9,9,9,9,9,,35.8228,09,0,99,0.00,0.00,0.00
A0422,,Ambulance 02 life sustaining,X,,0.00,0.00,,0.00,,0.00,0.00,0.00,9,XXX,0.00,0.00,0.00,9,9,9,9,9,,35.8228,09,0,99,0.00,0.00,0.00
A0424,,Extra ambulance attendant,X,,0.00,0.00,,0.00,,0.00,0.00,0.00,9,XXX,0.00,0.00,0.00,9,9,9,9,9,,35.8228,09,0,99,0.00,0.00,0.00
A0425,,Ground mileage,X,,0.00,0.00,,0.00,,0.00,0.00,0.00,9,XXX,0.00,0.00,0.00,9,9,9,9,9,,35.8228,09,0,99,0.00,0.00,0.00
A0426,,Als 1,X,,0.00,0.00,,0.00,,0.00,0.00,0.00,9,XXX,0.00,0.00,0.00,9,9,9,9,9,,35.8228,09,0,99,0.00,0.00,0.00
A0427,,Als1-emergency,X,,0.00,0.00,,0.00,,0.00,0.00,0.00,9,XXX,0.00,0.00,0.00,9,9,9,9,9,,35.8228,09,0,99,0.00,0.00,0.00
A0428,,Bls,X,,0.00,0.00,,0.00,,0.00,0.00,0.00,9,XXX,0.00,0.00,0.00,9,9,9,9,9,,35.8228,09,0,99,0.00,0.00,0.00
A0429,,Bls-emergency,X,,0.00,0.00,,0.00,,0.00,0.00,0.00,9,XXX,0.00,0.00,0.00,9,9,9,9,9,,35.8228,09,0,99,0.00,0.00,0.00
A0430,,Fixed wing air transport,X,,0.00,0.00,,0.00,,0.00,0.00,0.00,9,XXX,0.00,0.00,0.00,9,9,9,9,9,,35.8228,09,0,99,0.00,0.00,0.00
A0431,,Rotary wing air transport,X,,0.00,0.00,,0.00,,0.00,0.00,0.00,9,XXX,0.00,0.00,0.00,9,9,9,9,9,,35.8228,09,0,99,0.00,0.00,0.00
A0432,,Pi volunteer ambulance co,X,,0.00,0.00,,0.00,,0.00,0.00,0.00,9,XXX,0.00,0.00,0.00,9,9,9,9,9,,35.8228,09,0,99,0.00,0.00,0.00
A0433,,Als 2,X,,0.00,0.00,,0.00,,0.00,0.00,0.00,9,XXX,0.00,0.00,0.00,9,9,9,9,9,,35.8228,09,0,99,0.00,0.00,0.00
A0434,,Specialty care transport,X,,0.00,0.00,,0.00,,0.00,0.00,0.00,9,XXX,0.00,0.00,0.00,9,9,9,9,9,,35.8228,09,0,99,0.00,0.00,0.00
A0435,,Fixed wing air mileage,X,,0.00,0.00,,0.00,,0.00,0.00,0.00,9,XXX,0.00,0.00,0.00,9,9,9,9,9,,35.8228,09,0,99,0.00,0.00,0.00
A0436,,Rotary wing air mileage,X,,0.00,0.00,,0.00,,0.00,0.00,0.00,9,XXX,0.00,0.00,0.00,9,9,9,9,9,,35.8228,09,0,99,0.00,0.00,0.00
A0888,,Noncovered ambulance mileage,N,,0.00,0.00,,0.00,,0.00,0.00,0.00,9,XXX,0.00,0.00,0.00,9,9,9,9,9,,35.8228,09,0,99,0.00,0.00,0.00
A0998,,Ambulance response/treatment,I,,0.00,0.00,,0.00,,0.00,0.00,0.00,9,XXX,0.00,0.00,0.00,9,9,9,9,9,,35.8228,09,0,99,0.00,0.00,0.00
A0999,,Unlisted ambulance service,X,,0.00,0.00,,0.00,,0.00,0.00,0.00,9,XXX,0.00,0.00,0.00,9,9,9,9,9,,35.8228,09,0,99,0.00,0.00,0.00
A4206,,1 cc sterile syringe&needle,X,,0.00,0.00,,0.00,,0.00,0.00,0.00,9,XXX,0.00,0.00,0.00,9,9,9,9,9,,35.8228,09,0,99,0.00,0.00,0.00
A4207,,2 cc sterile syringe&needle,X,,0.00,0.00,,0.00,,0.00,0.00,0.00,9,XXX,0.00,0.00,0.00,9,9,9,9,9,,35.8228,09,0,99,0.00,0.00,0.00
A4208,,3 cc sterile syringe&needle,X,,0.00,0.00,,0.00,,0.00,0.00,0.00,9,XXX,0.00,0.00,0.00,9,9,9,9,9,,35.8228,09,0,99,0.00,0.00,0.00
A4209,,5+ cc sterile syringe&needle,X,,0.00,0.00,,0.00,,0.00,0.00,0.00,9,XXX,0.00,0.00,0.00,9,9,9,9,9,,35.8228,09,0,99,0.00,0.00,0.00
A4210,,Nonneedle injection device,N,,0.00,0.00,,0.00,,0.00,0.00,0.00,9,XXX,0.00,0.00,0.00,9,9,9,9,9,,35.8228,09,0,99,0.00,0.00,0.00
A4211,,Supp for self-adm injections,P,,0.00,0.00,,0.00,,0.00,0.00,0.00,9,XXX,0.00,0.00,0.00,9,9,9,9,9,,35.8228,09,0,99,0.00,0.00,0.00
A4212,,Non coring needle or stylet,P,,0.00,0.00,,0.00,,0.00,0.00,0.00,9,XXX,0.00,0.00,0.00,9,9,9,9,9,,35.8228,09,0,99,0.00,0.00,0.00
A4213,,20+ cc syringe only,X,,0.00,0.00,,0.00,,0.00,0.00,0.00,9,XXX,0.00,0.00,0.00,9,9,9,9,9,,35.8228,09,0,99,0.00,0.00,0.00
A4215,,Sterile needle,X,,0.00,0.00,,0.00,,0.00,0.00,0.00,9,XXX,0.00,0.00,0.00,9,9,9,9,9,,35.8228,09,0,99,0.00,0.00,0.00
A4216,,"Sterile water/saline, 10 ml",X,,0.00,0.00,,0.00,,0.00,0.00,0.00,9,XXX,0.00,0.00,0.00,9,9,9,9,9,,35.8228,09,0,99,0.00,0.00,0.00
A4217,,"Sterile water/saline, 500 ml",X,,0.00,0.00,,0.00,,0.00,0.00,0.00,9,XXX,0.00,0.00,0.00,9,9,9,9,9,,35.8228,09,0,99,0.00,0.00,0.00
A4218,,Sterile saline or water,X,,0.00,0.00,,0.00,,0.00,0.00,0.00,9,XXX,0.00,0.00,0.00,9,9,9,9,9,,35.8228,09,0,99,0.00,0.00,0.00
A4220,,Infusion pump refill kit,P,,0.00,0.00,,0.00,,0.00,0.00,0.00,9,XXX,0.00,0.00,0.00,9,9,9,9,9,,35.8228,09,0,99,0.00,0.00,0.00
A4221,,Maint drug infus cath per wk,X,,0.00,0.00,,0.00,,0.00,0.00,0.00,9,XXX,0.00,0.00,0.00,9,9,9,9,9,,35.8228,09,0,99,0.00,0.00,0.00
A4222,,Infusion supplies with pump,X,,0.00,0.00,,0.00,,0.00,0.00,0.00,9,XXX,0.00,0.00,0.00,9,9,9,9,9,,35.8228,09,0,99,0.00,0.00,0.00
A4223,,Infusion supplies w/o pump,X,,0.00,0.00,,0.00,,0.00,0.00,0.00,9,XXX,0.00,0.00,0.00,9,9,9,9,9,,35.8228,09,0,99,0.00,0.00,0.00
A4230,,Infus insulin pump non needl,X,,0.00,0.00,,0.00,,0.00,0.00,0.00,9,XXX,0.00,0.00,0.00,9,9,9,9,9,,35.8228,09,0,99,0.00,0.00,0.00
A4231,,Infusion insulin pump needle,X,,0.00,0.00,,0.00,,0.00,0.00,0.00,9,XXX,0.00,0.00,0.00,9,9,9,9,9,,35.8228,09,0,99,0.00,0.00,0.00
A4232,,Syringe w/needle insulin 3cc,I,,0.00,0.00,,0.00,,0.00,0.00,0.00,9,XXX,0.00,0.00,0.00,9,9,9,9,9,,35.8228,09,0,99,0.00,0.00,0.00
A4233,,Alkalin batt for glucose mon,X,,0.00,0.00,,0.00,,0.00,0.00,0.00,9,XXX,0.00,0.00,0.00,9,9,9,9,9,,35.8228,09,0,99,0.00,0.00,0.00
A4234,,J-cell batt for glucose mon,X,,0.00,0.00,,0.00,,0.00,0.00,0.00,9,XXX,0.00,0.00,0.00,9,9,9,9,9,,35.8228,09,0,99,0.00,0.00,0.00
A4235,,Lithium batt for glucose mon,X,,0.00,0.00,,0.00,,0.00,0.00,0.00,9,XXX,0.00,0.00,0.00,9,9,9,9,9,,35.8228,09,0,99,0.00,0.00,0.00
A4236,,Silvr oxide batt glucose mon,X,,0.00,0.00,,0.00,,0.00,0.00,0.00,9,XXX,0.00,0.00,0.00,9,9,9,9,9,,35.8228,09,0,99,0.00,0.00,0.00
A4244,,Alcohol or peroxide per pint,X,,0.00,0.00,,0.00,,0.00,0.00,0.00,9,XXX,0.00,0.00,0.00,9,9,9,9,9,,35.8228,09,0,99,0.00,0.00,0.00
A4245,,Alcohol wipes per box,X,,0.00,0.00,,0.00,,0.00,0.00,0.00,9,XXX,0.00,0.00,0.00,9,9,9,9,9,,35.8228,09,0,99,0.00,0.00,0.00
A4246,,Betadine/phisohex solution,X,,0.00,0.00,,0.00,,0.00,0.00,0.00,9,XXX,0.00,0.00,0.00,9,9,9,9,9,,35.8228,09,0,99,0.00,0.00,0.00
A4247,,Betadine/iodine swabs/wipes,X,,0.00,0.00,,0.00,,0.00,0.00,0.00,9,XXX,0.00,0.00,0.00,9,9,9,9,9,,35.8228,09,0,99,0.00,0.00,0.00
A4248,,Chlorhexidine antisept,X,,0.00,0.00,,0.00,,0.00,0.00,0.00,9,XXX,0.00,0.00,0.00,9,9,9,9,9,,35.8228,09,0,99,0.00,0.00,0.00
A4250,,Urine reagent strips/tablets,N,,0.00,0.00,,0.00,,0.00,0.00,0.00,9,XXX,0.00,0.00,0.00,9,9,9,9,9,,35.8228,09,0,99,0.00,0.00,0.00
A4252,,Blood ketone test or strip,N,,0.00,0.00,,0.00,,0.00,0.00,0.00,9,XXX,0.00,0.00,0.00,9,9,9,9,9,,35.8228,09,0,99,0.00,0.00,0.00
A4253,,Blood glucose/reagent strips,P,,0.00,0.00,,0.00,,0.00,0.00,0.00,9,XXX,0.00,0.00,0.00,9,9,9,9,9,,35.8228,09,0,99,0.00,0.00,0.00
A4255,,Glucose monitor platforms,X,,0.00,0.00,,0.00,,0.00,0.00,0.00,9,XXX,0.00,0.00,0.00,9,9,9,9,9,,35.8228,09,0,99,0.00,0.00,0.00
A4256,,Calibrator solution/chips,P,,0.00,0.00,,0.00,,0.00,0.00,0.00,9,XXX,0.00,0.00,0.00,9,9,9,9,9,,35.8228,09,0,99,0.00,0.00,0.00
A4257,,Replace lensshield cartridge,X,,0.00,0.00,,0.00,,0.00,0.00,0.00,9,XXX,0.00,0.00,0.00,9,9,9,9,9,,35.8228,09,0,99,0.00,0.00,0.00
A4258,,Lancet device each,P,,0.00,0.00,,0.00,,0.00,0.00,0.00,9,XXX,0.00,0.00,0.00,9,9,9,9,9,,35.8228,09,0,99,0.00,0.00,0.00
A4259,,Lancets per box,P,,0.00,0.00,,0.00,,0.00,0.00,0.00,9,XXX,0.00,0.00,0.00,9,9,9,9,9,,35.8228,09,0,99,0.00,0.00,0.00
A4261,,Cervical cap contraceptive,N,,0.00,0.00,,0.00,,0.00,0.00,0.00,9,XXX,0.00,0.00,0.00,9,9,9,9,9,,35.8228,09,0,99,0.00,0.00,0.00
A4262,,Temporary tear duct plug,B,,0.00,0.00,,0.00,,0.00,0.00,0.00,9,XXX,0.00,0.00,0.00,9,9,9,9,9,,35.8228,09,0,99,0.00,0.00,0.00
A4263,,Permanent tear duct plug,B,,0.00,0.00,,0.00,,0.00,0.00,0.00,9,XXX,0.00,0.00,0.00,9,9,9,9,9,,35.8228,09,0,99,0.00,0.00,0.00
A4264,,Intratubal occlusion device,I,,0.00,0.00,,0.00,,0.00,0.00,0.00,9,XXX,0.00,0.00,0.00,9,9,9,9,9,,35.8228,09,0,99,0.00,0.00,0.00
A4265,,Paraffin,P,,0.00,0.00,,0.00,,0.00,0.00,0.00,9,XXX,0.00,0.00,0.00,9,9,9,9,9,,35.8228,09,0,99,0.00,0.00,0.00
A4266,,Diaphragm,I,,0.00,0.00,,0.00,,0.00,0.00,0.00,9,XXX,0.00,0.00,0.00,9,9,9,9,9,,35.8228,09,0,99,0.00,0.00,0.00
A4267,,Male condom,I,,0.00,0.00,,0.00,,0.00,0.00,0.00,9,XXX,0.00,0.00,0.00,9,9,9,9,9,,35.8228,09,0,99,0.00,0.00,0.00
A4268,,Female condom,I,,0.00,0.00,,0.00,,0.00,0.00,0.00,9,XXX,0.00,0.00,0.00,9,9,9,9,9,,35.8228,09,0,99,0.00,0.00,0.00
A4269,,Spermicide,I,,0.00,0.00,,0.00,,0.00,0.00,0.00,9,XXX,0.00,0.00,0.00,9,9,9,9,9,,35.8228,09,0,99,0.00,0.00,0.00
A4270,,Disposable endoscope sheath,B,,0.00,0.00,,0.00,,0.00,0.00,0.00,9,XXX,0.00,0.00,0.00,9,9,9,9,9,,35.8228,09,0,99,0.00,0.00,0.00
A4280,,Brst prsths adhsv attchmnt,X,,0.00,0.00,,0.00,,0.00,0.00,0.00,9,XXX,0.00,0.00,0.00,9,9,9,9,9,,35.8228,09,0,99,0.00,0.00,0.00
A4281,,Replacement breastpump tube,X,,0.00,0.00,,0.00,,0.00,0.00,0.00,9,XXX,0.00,0.00,0.00,9,9,9,9,9,,35.8228,09,0,99,0.00,0.00,0.00
A4282,,Replacement breastpump adpt,X,,0.00,0.00,,0.00,,0.00,0.00,0.00,9,XXX,0.00,0.00,0.00,9,9,9,9,9,,35.8228,09,0,99,0.00,0.00,0.00
A4283,,Replacement breastpump cap,X,,0.00,0.00,,0.00,,0.00,0.00,0.00,9,XXX,0.00,0.00,0.00,9,9,9,9,9,,35.8228,09,0,99,0.00,0.00,0.00
A4284,,Replcmnt breast pump shield,X,,0.00,0.00,,0.00,,0.00,0.00,0.00,9,XXX,0.00,0.00,0.00,9,9,9,9,9,,35.8228,09,0,99,0.00,0.00,0.00
A4285,,Replcmnt breast pump bottle,X,,0.00,0.00,,0.00,,0.00,0.00,0.00,9,XXX,0.00,0.00,0.00,9,9,9,9,9,,35.8228,09,0,99,0.00,0.00,0.00
A4286,,Replcmnt breastpump lok ring,X,,0.00,0.00,,0.00,,0.00,0.00,0.00,9,XXX,0.00,0.00,0.00,9,9,9,9,9,,35.8228,09,0,99,0.00,0.00,0.00
A4290,,Sacral nerve stim test lead,X,,0.00,0.00,,0.00,,0.00,0.00,0.00,9,XXX,0.00,0.00,0.00,9,9,9,9,9,,35.8228,09,0,99,0.00,0.00,0.00
A4300,,Cath impl vasc access portal,B,,0.00,0.00,,0.00,,0.00,0.00,0.00,9,XXX,0.00,0.00,0.00,9,9,9,9,9,,35.8228,09,0,99,0.00,0.00,0.00
A4301,,Implantable access syst perc,P,,0.00,0.00,,0.00,,0.00,0.00,0.00,9,XXX,0.00,0.00,0.00,9,9,9,9,9,,35.8228,09,0,99,0.00,0.00,0.00
A4305,,Drug delivery system >=50 ml,P,,0.00,0.00,,0.00,,0.00,0.00,0.00,9,XXX,0.00,0.00,0.00,9,9,9,9,9,,35.8228,09,0,99,0.00,0.00,0.00
A4306,,Drug delivery system <=50 ml,P,,0.00,0.00,,0.00,,0.00,0.00,0.00,9,XXX,0.00,0.00,0.00,9,9,9,9,9,,35.8228,09,0,99,0.00,0.00,0.00
A4310,,Insert tray w/o bag/cath,P,,0.00,0.00,,0.00,,0.00,0.00,0.00,9,XXX,0.00,0.00,0.00,9,9,9,9,9,,35.8228,09,0,99,0.00,0.00,0.00
A4311,,Catheter w/o bag 2-way latex,P,,0.00,0.00,,0.00,,0.00,0.00,0.00,9,XXX,0.00,0.00,0.00,9,9,9,9,9,,35.8228,09,0,99,0.00,0.00,0.00
A4312,,Cath w/o bag 2-way silicone,P,,0.00,0.00,,0.00,,0.00,0.00,0.00,9,XXX,0.00,0.00,0.00,9,9,9,9,9,,35.8228,09,0,99,0.00,0.00,0.00
A4313,,Catheter w/bag 3-way,P,,0.00,0.00,,0.00,,0.00,0.00,0.00,9,XXX,0.00,0.00,0.00,9,9,9,9,9,,35.8228,09,0,99,0.00,0.00,0.00
A4314,,Cath w/drainage 2-way latex,P,,0.00,0.00,,0.00,,0.00,0.00,0.00,9,XXX,0.00,0.00,0.00,9,9,9,9,9,,35.8228,09,0,99,0.00,0.00,0.00
A4315,,Cath w/drainage 2-way silcne,P,,0.00,0.00,,0.00,,0.00,0.00,0.00,9,XXX,0.00,0.00,0.00,9,9,9,9,9,,35.8228,09,0,99,0.00,0.00,0.00
A4316,,Cath w/drainage 3-way,P,,0.00,0.00,,0.00,,0.00,0.00,0.00,9,XXX,0.00,0.00,0.00,9,9,9,9,9,,35.8228,09,0,99,0.00,0.00,0.00
A4320,,Irrigation tray,P,,0.00,0.00,,0.00,,0.00,0.00,0.00,9,XXX,0.00,0.00,0.00,9,9,9,9,9,,35.8228,09,0,99,0.00,0.00,0.00
A4321,,Cath therapeutic irrig agent,X,,0.00,0.00,,0.00,,0.00,0.00,0.00,9,XXX,0.00,0.00,0.00,9,9,9,9,9,,35.8228,09,0,99,0.00,0.00,0.00
A4322,,Irrigation syringe,P,,0.00,0.00,,0.00,,0.00,0.00,0.00,9,XXX,0.00,0.00,0.00,9,9,9,9,9,,35.8228,09,0,99,0.00,0.00,0.00
A4326,,Male external catheter,P,,0.00,0.00,,0.00,,0.00,0.00,0.00,9,XXX,0.00,0.00,0.00,9,9,9,9,9,,35.8228,09,0,99,0.00,0.00,0.00
A4327,,Fem urinary collect dev cup,P,,0.00,0.00,,0.00,,0.00,0.00,0.00,9,XXX,0.00,0.00,0.00,9,9,9,9,9,,35.8228,09,0,99,0.00,0.00,0.00
A4328,,Fem urinary collect pouch,P,,0.00,0.00,,0.00,,0.00,0.00,0.00,9,XXX,0.00,0.00,0.00,9,9,9,9,9,,35.8228,09,0,99,0.00,0.00,0.00
A4330,,Stool collection pouch,P,,0.00,0.00,,0.00,,0.00,0.00,0.00,9,XXX,0.00,0.00,0.00,9,9,9,9,9,,35.8228,09,0,99,0.00,0.00,0.00
A4331,,Extension drainage tubing,X,,0.00,0.00,,0.00,,0.00,0.00,0.00,9,XXX,0.00,0.00,0.00,9,9,9,9,9,,35.8228,09,0,99,0.00,0.00,0.00
A4332,,Lube sterile packet,X,,0.00,0.00,,0.00,,0.00,0.00,0.00,9,XXX,0.00,0.00,0.00,9,9,9,9,9,,35.8228,09,0,99,0.00,0.00,0.00
A4333,,Urinary cath anchor device,X,,0.00,0.00,,0.00,,0.00,0.00,0.00,9,XXX,0.00,0.00,0.00,9,9,9,9,9,,35.8228,09,0,99,0.00,0.00,0.00
A4334,,Urinary cath leg strap,X,,0.00,0.00,,0.00,,0.00,0.00,0.00,9,XXX,0.00,0.00,0.00,9,9,9,9,9,,35.8228,09,0,99,0.00,0.00,0.00
A4335,,Incontinence supply,P,,0.00,0.00,,0.00,,0.00,0.00,0.00,9,XXX,0.00,0.00,0.00,9,9,9,9,9,,35.8228,09,0,99,0.00,0.00,0.00
A4336,,Urethral insert,X,,0.00,0.00,,0.00,,0.00,0.00,0.00,9,XXX,0.00,0.00,0.00,9,9,9,9,9,,35.8228,09,0,99,0.00,0.00,0.00
A4338,,Indwelling catheter latex,P,,0.00,0.00,,0.00,,0.00,0.00,0.00,9,XXX,0.00,0.00,0.00,9,9,9,9,9,,35.8228,09,0,99,0.00,0.00,0.00
A4340,,Indwelling catheter special,P,,0.00,0.00,,0.00,,0.00,0.00,0.00,9,XXX,0.00,0.00,0.00,9,9,9,9,9,,35.8228,09,0,99,0.00,0.00,0.00
A4344,,Cath indw foley 2 way silicn,P,,0.00,0.00,,0.00,,0.00,0.00,0.00,9,XXX,0.00,0.00,0.00,9,9,9,9,9,,35.8228,09,0,99,0.00,0.00,0.00
A4346,,Cath indw foley 3 way,P,,0.00,0.00,,0.00,,0.00,0.00,0.00,9,XXX,0.00,0.00,0.00,9,9,9,9,9,,35.8228,09,0,99,0.00,0.00,0.00
A4349,,Disposable male external cat,X,,0.00,0.00,,0.00,,0.00,0.00,0.00,9,XXX,0.00,0.00,0.00,9,9,9,9,9,,35.8228,09,0,99,0.00,0.00,0.00
A4351,,Straight tip urine catheter,P,,0.00,0.00,,0.00,,0.00,0.00,0.00,9,XXX,0.00,0.00,0.00,9,9,9,9,9,,35.8228,09,0,99,0.00,0.00,0.00
A4352,,Coude tip urinary catheter,P,,0.00,0.00,,0.00,,0.00,0.00,0.00,9,XXX,0.00,0.00,0.00,9,9,9,9,9,,35.8228,09,0,99,0.00,0.00,0.00
A4353,,Intermittent urinary cath,X,,0.00,0.00,,0.00,,0.00,0.00,0.00,9,XXX,0.00,0.00,0.00,9,9,9,9,9,,35.8228,09,0,99,0.00,0.00,0.00
A4354,,Cath insertion tray w/bag,P,,0.00,0.00,,0.00,,0.00,0.00,0.00,9,XXX,0.00,0.00,0.00,9,9,9,9,9,,35.8228,09,0,99,0.00,0.00,0.00
A4355,,Bladder irrigation tubing,P,,0.00,0.00,,0.00,,0.00,0.00,0.00,9,XXX,0.00,0.00,0.00,9,9,9,9,9,,35.8228,09,0,99,0.00,0.00,0.00
A4356,,Ext ureth clmp or compr dvc,P,,0.00,0.00,,0.00,,0.00,0.00,0.00,9,XXX,0.00,0.00,0.00,9,9,9,9,9,,35.8228,09,0,99,0.00,0.00,0.00
A4357,,Bedside drainage bag,P,,0.00,0.00,,0.00,,0.00,0.00,0.00,9,XXX,0.00,0.00,0.00,9,9,9,9,9,,35.8228,09,0,99,0.00,0.00,0.00
A4358,,Urinary leg or abdomen bag,P,,0.00,0.00,,0.00,,0.00,0.00,0.00,9,XXX,0.00,0.00,0.00,9,9,9,9,9,,35.8228,09,0,99,0.00,0.00,0.00
A4360,,Disposable ext urethral dev,X,,0.00,0.00,,0.00,,0.00,0.00,0.00,9,XXX,0.00,0.00,0.00,9,9,9,9,9,,35.8228,09,0,99,0.00,0.00,0.00
A4361,,Ostomy face plate,P,,0.00,0.00,,0.00,,0.00,0.00,0.00,9,XXX,0.00,0.00,0.00,9,9,9,9,9,,35.8228,09,0,99,0.00,0.00,0.00
A4362,,Solid skin barrier,P,,0.00,0.00,,0.00,,0.00,0.00,0.00,9,XXX,0.00,0.00,0.00,9,9,9,9,9,,35.8228,09,0,99,0.00,0.00,0.00
A4363,,"Ostomy clamp, replacement",X,,0.00,0.00,,0.00,,0.00,0.00,0.00,9,XXX,0.00,0.00,0.00,9,9,9,9,9,,35.8228,09,0,99,0.00,0.00,0.00
A4364,,"Adhesive, liquid or equal",P,,0.00,0.00,,0.00,,0.00,0.00,0.00,9,XXX,0.00,0.00,0.00,9,9,9,9,9,,35.8228,09,0,99,0.00,0.00,0.00
A4366,,Ostomy vent,X,,0.00,0.00,,0.00,,0.00,0.00,0.00,9,XXX,0.00,0.00,0.00,9,9,9,9,9,,35.8228,09,0,99,0.00,0.00,0.00
A4367,,Ostomy belt,P,,0.00,0.00,,0.00,,0.00,0.00,0.00,9,XXX,0.00,0.00,0.00,9,9,9,9,9,,35.8228,09,0,99,0.00,0.00,0.00
A4368,,Ostomy filter,X,,0.00,0.00,,0.00,,0.00,0.00,0.00,9,XXX,0.00,0.00,0.00,9,9,9,9,9,,35.8228,09,0,99,0.00,0.00,0.00
A4369,,Skin barrier liquid per oz,X,,0.00,0.00,,0.00,,0.00,0.00,0.00,9,XXX,0.00,0.00,0.00,9,9,9,9,9,,35.8228,09,0,99,0.00,0.00,0.00
